symbol,mu,alpha,gamma,success,message,n_raw,n_after_dedup,T,neg_ll
AAVEUSDT,5.685409113935643e-07,0.00018447304074558865,0.00040785930745767293,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,99541,89683,86396689653,1146057.1879525613
ADAUSDT,2.9076682779452414e-07,0.00014959135562688541,0.00040677788239911557,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,40363,39729,86392710593,548283.6416614184
ALLOUSDT,2.2305586325284803e-07,0.0001246082031713141,0.00029684345394944485,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36473,33212,86393531831,454674.2059412125
APTUSDT,7.544767485688936e-08,3.2659985624337395e-05,8.396405410501658e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,10732,10663,86360851941,161519.75914520503
ARBUSDT,8.116503743101903e-08,1.7179616706247138e-05,3.9981788017494284e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12391,12291,86364227791,184876.26388243836
ASTERUSDT,6.151794862701276e-08,8.106199199110516e-05,0.00013610855030998453,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12911,12810,86327438554,170474.77233747466
AVAXUSDT,3.3214582735019245e-07,2.916725912403117e-05,5.454961642348184e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,64600,61670,86397472806,834674.8929558604
BCHUSDT,2.13866930373597e-07,0.00014216420092346508,0.00034812809574730934,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,32271,31221,86373004764,428043.08386497945
BNBUSDT,1.6088510220507874e-06,0.00014332840188047895,0.000803317509330712,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,285879,213224,86399458047,2823504.7302831374
BONKUSDT,4.537285892018344e-08,6.546807587633034e-05,0.0003310064864599197,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,5100,4996,86187838854,81958.81005598269
BTCUSDT,2.803945304175212e-06,0.00010087273665220917,0.00019457421145945895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1093532,503061,86399777456,5862954.498122144
CRCLBUSDT,9.638574890537036e-08,2.4184103720685406e-05,6.264059098316954e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18578,13556,86347866338,205139.19471230233
CRVUSDT,8.628868757918562e-08,0.00012190841743038396,0.00030966720199572604,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,13487,12295,86397898474,177692.36351693215
DASHUSDT,9.388827803326312e-08,0.00026316997474695053,0.0004775662235465981,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19895,18064,86391419476,230342.1840270423
DEXEUSDT,1.6626186795913292e-07,0.00022419799131765,0.00048257797164431127,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,64095,26825,86388555416,358139.41332742915
DODOUSDT,5.4908957968169195e-08,7.069671121011203e-05,0.00012659332073557768,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12952,10732,86308125239,147598.63577523193
DOGEUSDT,4.992410909166792e-07,4.739023520025696e-05,0.0001521535822780712,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,65948,62646,86399844790,882779.1372433655
DOTUSDT,7.965848093418625e-08,6.258633495348997e-05,0.00023584489371608565,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,9473,9364,86367565296,146703.28732699266
DRAMBUSDT,,,,False,no usable data,0,0,,
EGLDUSDT,1.617492554088222e-08,4.376371227625394e-05,0.0002464736568404657,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1749,1744,86223939454,30343.260580163696
EIGENUSDT,1.1635071643592078e-07,0.00017687247094513595,0.0004068545502469932,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19119,17782,86384473965,245220.6369071769
